scenario;size;workers;time_sec;speedup
red;100000;1;0.000134;0.957606
red;100000;2;0.000109;1.170732
red;100000;4;0.000106;1.211356
red;100000;8;0.000109;1.177914
red;100000;10;0.000126;1.018568
red;100000;11;0.000120;1.066667
red;100000;20;0.000166;0.769539
loc;100000;1;0.000139;0.923077
loc;100000;2;0.000144;0.886836
loc;100000;4;0.000137;0.936585
loc;100000;8;0.000180;0.709797
loc;100000;10;0.000166;0.772636
loc;100000;11;0.000171;0.750000
loc;100000;20;0.000302;0.423841
red;1000000;1;0.001666;1.091018
red;1000000;2;0.000890;2.042697
red;1000000;4;0.000525;3.465057
red;1000000;8;0.000359;5.059369
red;1000000;10;0.000343;5.300292
red;1000000;11;0.000364;4.999083
red;1000000;20;0.000339;5.368110
loc;1000000;1;0.001482;1.226445
loc;1000000;2;0.000777;2.338765
loc;1000000;4;0.000467;3.890157
loc;1000000;8;0.000337;5.394659
loc;1000000;10;0.000367;4.949183
loc;1000000;11;0.000366;4.971741
loc;1000000;20;0.000441;4.119335
red;5000000;1;0.006405;0.992818
red;5000000;2;0.003341;1.903322
red;5000000;4;0.001729;3.678558
red;5000000;8;0.001220;5.210871
red;5000000;10;0.001467;4.334697
red;5000000;11;0.001273;4.995287
red;5000000;20;0.001272;4.997904
loc;5000000;1;0.006335;1.003788
loc;5000000;2;0.003372;1.885824
loc;5000000;4;0.001763;3.606238
loc;5000000;8;0.001211;5.251032
loc;5000000;10;0.001373;4.632589
loc;5000000;11;0.001345;4.726710
loc;5000000;20;0.001327;4.790809
red;20000000;1;0.025456;0.985792
red;20000000;2;0.012901;1.945121
red;20000000;4;0.006674;3.760152
red;20000000;8;0.003845;6.526398
red;20000000;10;0.004479;5.602173
red;20000000;11;0.004871;5.151362
red;20000000;20;0.004038;6.213950
loc;20000000;1;0.025143;0.998064
loc;20000000;2;0.013035;1.925174
loc;20000000;4;0.006761;3.711398
loc;20000000;8;0.003966;6.327814
loc;20000000;10;0.004699;5.339906
loc;20000000;11;0.004936;5.083530
loc;20000000;20;0.004202;5.971918
