variant,vec_size,threads,time_sec,speedup_vs_seq
red,100000,1,0.000228,0.894737
red,100000,2,0.000130,1.569231
red,100000,4,0.000088,2.318182
red,100000,10,0.000191,1.066202
red,100000,12,0.000154,1.327549
red,100000,20,0.000230,0.886957
acc,100000,1,0.000204,1.000000
acc,100000,2,0.000186,1.098743
acc,100000,4,0.000102,2.000000
acc,100000,10,0.000235,0.869318
acc,100000,12,0.000229,0.892128
acc,100000,20,0.000351,0.581197
red,1000000,1,0.001638,1.042125
red,1000000,2,0.000853,2.001172
red,1000000,4,0.000443,3.850376
red,1000000,10,0.000348,4.905172
red,1000000,12,0.000364,4.693859
red,1000000,20,0.000355,4.808451
acc,1000000,1,0.001521,1.122288
acc,1000000,2,0.000782,2.181934
acc,1000000,4,0.000422,4.041831
acc,1000000,10,0.000348,4.905172
acc,1000000,12,0.000389,4.388175
acc,1000000,20,0.000440,3.876609
red,5000000,1,0.006219,1.195755
red,5000000,2,0.003276,2.270072
red,5000000,4,0.001739,4.276021
red,5000000,10,0.001371,5.423778
red,5000000,12,0.001194,6.229545
red,5000000,20,0.001142,6.509484
acc,5000000,1,0.006227,1.194218
acc,5000000,2,0.003382,2.198482
acc,5000000,4,0.001748,4.253194
acc,5000000,10,0.001361,5.464968
acc,5000000,12,0.001258,5.912536
acc,5000000,20,0.001160,6.412187
red,20000000,1,0.024863,1.699433
red,20000000,2,0.012938,3.265806
red,20000000,4,0.006593,6.408443
red,20000000,10,0.004314,9.793634
red,20000000,12,0.004655,9.077557
red,20000000,20,0.003983,10.608335
acc,20000000,1,0.024876,1.698545
acc,20000000,2,0.012647,3.341038
acc,20000000,4,0.006616,6.386166
acc,20000000,10,0.004601,9.184104
acc,20000000,12,0.004691,9.007248
acc,20000000,20,0.004174,10.122095
