func,rule,N,threads,time_sec,estimate,abs_err,speedup_vs_seq
sin,mid,100000,1,0.000353,2.000000,0.000000,0.973585
sin,mid,100000,2,0.000209,2.000000,0.000000,1.645933
sin,mid,100000,4,0.000127,2.000000,0.000000,2.715789
sin,mid,100000,5,0.000185,2.000000,0.000000,1.862816
sin,mid,100000,8,0.000150,2.000000,0.000000,2.288248
sin,mid,1000000,1,0.004383,2.000000,0.000000,0.775953
sin,mid,1000000,2,0.002459,2.000000,0.000000,1.383270
sin,mid,1000000,4,0.001166,2.000000,0.000000,2.915976
sin,mid,1000000,5,0.000968,2.000000,0.000000,3.513430
sin,mid,1000000,8,0.000630,2.000000,0.000000,5.395558
sin,mid,5000000,1,0.016882,2.000000,0.000000,1.090984
sin,mid,5000000,2,0.009494,2.000000,0.000000,1.939894
sin,mid,5000000,4,0.004977,2.000000,0.000000,3.700871
sin,mid,5000000,5,0.004003,2.000000,0.000000,4.601432
sin,mid,5000000,8,0.002603,2.000000,0.000000,7.074776
sin,mid,20000000,1,0.068275,2.000000,0.000000,0.982956
sin,mid,20000000,2,0.038049,2.000000,0.000000,1.763820
sin,mid,20000000,4,0.019784,2.000000,0.000000,3.392128
sin,mid,20000000,5,0.015718,2.000000,0.000000,4.269691
sin,mid,20000000,8,0.009971,2.000000,0.000000,6.730619
