matrix_type,bandwidth,nrows,ncols,schedule,threads,time_sec,speedup_vs_seq
band,64,1000,1000,static,1,0.000129,0.927461
band,64,1000,1000,static,2,0.000094,1.274021
band,64,1000,1000,static,4,0.000086,1.392996
band,64,1000,1000,static,10,0.000086,1.382239
band,64,1000,1000,static,11,0.000068,1.754902
band,64,1000,1000,static,20,0.000127,0.939632
band,64,1000,1000,dynamic,1,0.000145,0.821101
band,64,1000,1000,dynamic,2,0.000095,1.260563
band,64,1000,1000,dynamic,4,0.000112,1.068657
band,64,1000,1000,dynamic,10,0.000123,0.970190
band,64,1000,1000,dynamic,11,0.000178,0.670412
band,64,1000,1000,dynamic,20,0.000213,0.561129
band,64,1000,1000,guided,1,0.000129,0.927461
band,64,1000,1000,guided,2,0.000098,1.217687
band,64,1000,1000,guided,4,0.000082,1.455284
band,64,1000,1000,guided,10,0.000101,1.185430
band,64,1000,1000,guided,11,0.000112,1.068657
band,64,1000,1000,guided,20,0.000194,0.614065
band,64,10000,10000,static,1,0.002156,1.187200
band,64,10000,10000,static,2,0.001213,2.109890
band,64,10000,10000,static,4,0.000600,4.264298
band,64,10000,10000,static,10,0.000419,6.104928
band,64,10000,10000,static,11,0.000404,6.341866
band,64,10000,10000,static,20,0.000400,6.394671
band,64,10000,10000,dynamic,1,0.002304,1.111272
band,64,10000,10000,dynamic,2,0.001363,1.878669
band,64,10000,10000,dynamic,4,0.000899,2.846553
band,64,10000,10000,dynamic,10,0.000726,3.526171
band,64,10000,10000,dynamic,11,0.000894,2.862467
band,64,10000,10000,dynamic,20,0.000929,2.754663
band,64,10000,10000,guided,1,0.002195,1.166110
band,64,10000,10000,guided,2,0.001101,2.325863
band,64,10000,10000,guided,4,0.000592,4.324324
band,64,10000,10000,guided,10,0.000386,6.626402
band,64,10000,10000,guided,11,0.000379,6.748682
band,64,10000,10000,guided,20,0.000443,5.783132
band,64,15000,15000,static,1,0.003442,1.154934
band,64,15000,15000,static,2,0.001782,2.231014
band,64,15000,15000,static,4,0.000946,4.202607
band,64,15000,15000,static,10,0.000609,6.531763
band,64,15000,15000,static,11,0.000628,6.330679
band,64,15000,15000,static,20,0.000628,6.327321
band,64,15000,15000,dynamic,1,0.003725,1.067293
band,64,15000,15000,dynamic,2,0.002316,1.716362
band,64,15000,15000,dynamic,4,0.001518,2.619591
band,64,15000,15000,dynamic,10,0.001315,3.022555
band,64,15000,15000,dynamic,11,0.001309,3.037952
band,64,15000,15000,dynamic,20,0.001391,2.858136
band,64,15000,15000,guided,1,0.003516,1.130628
band,64,15000,15000,guided,2,0.001803,2.205436
band,64,15000,15000,guided,4,0.000878,4.528094
band,64,15000,15000,guided,10,0.000540,7.357804
band,64,15000,15000,guided,11,0.000598,6.651980
band,64,15000,15000,guided,20,0.000636,6.251048
band,64,20000,20000,static,1,0.005833,1.050749
band,64,20000,20000,static,2,0.002803,2.186207
band,64,20000,20000,static,4,0.001366,4.485484
band,64,20000,20000,static,10,0.000905,6.769514
band,64,20000,20000,static,11,0.000943,6.496820
band,64,20000,20000,static,20,0.000896,6.837486
band,64,20000,20000,dynamic,1,0.006413,0.955713
band,64,20000,20000,dynamic,2,0.003552,1.725251
band,64,20000,20000,dynamic,4,0.002121,2.889063
band,64,20000,20000,dynamic,10,0.001727,3.548736
band,64,20000,20000,dynamic,11,0.001728,3.545998
band,64,20000,20000,dynamic,20,0.001828,3.353274
band,64,20000,20000,guided,1,0.006381,0.960506
band,64,20000,20000,guided,2,0.003154,1.942936
band,64,20000,20000,guided,4,0.001353,4.529687
band,64,20000,20000,guided,10,0.000872,7.028288
band,64,20000,20000,guided,11,0.000825,7.428687
band,64,20000,20000,guided,20,0.001173,5.226265
