schedule,threads,N,chunk,time_sec,speedup_vs_seq
static,1,5000000,0,2.673995,0.710149
static,2,5000000,0,2.385194,0.796134
static,4,5000000,0,2.266823,0.837708
static,5,5000000,0,2.258035,0.840968
static,8,5000000,0,1.494965,1.270221
dynamic,1,5000000,0,5.073457,0.374288
dynamic,2,5000000,0,2.545158,0.746097
dynamic,4,5000000,0,1.335550,1.421837
dynamic,5,5000000,0,1.648592,1.151853
dynamic,8,5000000,0,1.360489,1.395774
guided,1,5000000,0,2.676120,0.709585
guided,2,5000000,0,1.341271,1.415772
guided,4,5000000,0,0.725957,2.615767
guided,5,5000000,0,0.730276,2.600297
guided,8,5000000,0,0.740679,2.563777
